Rank,Player,Team
1,James Harden,HOU
2,Giannis Antetokounmpo,MIL
3,Trae Young,ATL
4,Damian Lillard,POR
5,Bradley Beal,WSH
6,Luka Doncic,DAL
7,Russell Westbrook,HOU
8,Kawhi Leonard,LAC
9,Anthony Davis,LAL
10,Devin Booker,PHX
11,Zach LaVine,CHI
12,LeBron James,LAL
13,Brandon Ingram,NO
14,Donovan Mitchell,UTAH
15,Pascal Siakam,TOR
16,DeMar DeRozan,SA
17,Joel Embiid,PHI
18,Andrew Wiggins,MIN
19,Jayson Tatum,BOS
20,Kemba Walker,BOS
21,CJ McCollum,POR
22,Bojan Bogdanovic,UTAH
23,Spencer Dinwiddie,BKN
24,Nikola Jokic,DEN
25,Jimmy Butler,MIA
26,Khris Middleton,MIL
27,Buddy Hield,SAC
28,Jaylen Brown,BOS
29,Collin Sexton,CLE
30,Kyle Lowry,TOR
31,Shai Gilgeous-Alexander,OKC
32,Jrue Holiday,NO
33,Julius Randle,NY
34,Dennis Schroder,OKC
35,Marcus Morris Sr.,NY
36,Lou Williams,LAC
37,Danilo Gallinari,OKC
38,LaMarcus Aldridge,SA
39,Tobias Harris,PHI
40,Nikola Vucevic,ORL
41,Kelly Oubre Jr.,PHX
42,Jamal Murray,DEN
43,Montrezl Harrell,LAC
44,Evan Fournier,ORL
45,T.J. Warren,IND
46,Kristaps Porzingis,DAL
47,Domantas Sabonis,IND
48,Derrick Rose,DET
49,Devonte' Graham,CHA
50,Fred VanVleet,TOR
